DI_SEQUENCE_NUMBER,DI_OPERATION_TYPE,MATNR,WERKS,PSTAT,LVORM,BWTTY,XCHAR,MMSTA,MMSTD,MAABC,KZKRI,EKGRP,AUSME,DISPR,DISMM,DISPO,KZDIE,PLIFZ,WEBAZ,PERKZ,AUSSS,DISLS,BESKZ,SOBSL,SBDKZ,LAGPR,ALTSL,KZAUS,AUSDT,NFMAT,KZBED,MISKZ,FHORI,PFREI,FFREI,RGEKZ,FEVOR,BEARZ,RUEZT,TRANZ,DZEIT,MAXLZ,LZEIH,KZPRO,GPMKZ,UEETO,UEETK,UNETO,WZEIT,ATPKZ,VZUSL,HERBL,INSMK,SPROZ,QUAZT,SSQSS,MPDAU,KZPPV,KZDKZ,WSTGH,PRFRQ,NKMPR,LADGR,XCHPF,USEQU,LGRAD,AUFTL,PLVAR,OTYPE,OBJID,MTVFP,PERIV,KZKFK,VRVEZ,VBEAZ,LIZYK,BWSCL,KAUTB,KORDB,STAWN,HERKL,HERKR,EXPME,MTVER,PRCTR,MRPPP,SAUFT,FXHOR,VRMOD,VINT1,VINT2,VERKZ,STLAL,STLAN,PLNNR,APLAL,SOBSK,FRTME,LGPRO,DISGR,KAUSF,QZGTP,QMATV,TAKZT,RWPRO,COPAM,ABCIN,AWSLS,SERNP,CUOBJ,STDPD,SFEPR,XMCNG,QSSYS,LFRHY,RDPRF,VRBMT,VRBWK,VRBDT,VRBFK,AUTRU,PREFE,PRENC,PRENO,PREND,PRENE,PRENG,ITARK,SERVG,KZKUP,STRGR,CUOBV,LGFSB,SCHGT,CCFIX,EPRIO,QMATA,RESVP,PLNTY,UOMGR,UMRSL,ABFAC,SFCPF,SHFLG,SHZET,MDACH,KZECH,KOKRS,ZZBKLAS,ZZSTPRS,ZZWAERS,ZZVERPR,ZZLPLPR,ZZSTPRS_MM,ZZLOSGR,ZZMEINS,ZZEISBE,ZZPEINH,ZZWERKS_SRC,ZZSTPRS_SRC,ZZPEINH_SRC,ZZBSTRF,ZZBSTMI,ZZMINBE,ZZBSTFE,ZZMATOHD,ZZOHDCST,ZZLABCST,ZZPLPR,ZZPLP1,ZZKBETR,ZZKONWA,ZZSWAER,ZZMAT_LOOP,ZZLOOPSTDL,ZZSUBCOST,ZZLOOP_REL,ZZCST_SOBSL,ZZCST_BESKZ,ZZPRDTIER,ZZNODETYPE,ZZFRCST_RORG,ZZERHOR,ODQ_CHANGEMODE,ODQ_ENTITYCNTR
72339,X,1920TEST,1921,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000009000, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,USD,0,0,0,0, ,0,0,1921,0,0,0,0,0,0,0,0,0,0,0,0, ,USD, ,0,0, , , , , ,  0,0, ,0
72340,X,1920TEST,US47,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000009000, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,USD,0,0,0,0, ,0,0,US47,0,0,0,0,0,0,0,0,0,0,0,0, ,USD, ,0,0, , , , , ,  0,0, ,0
72342,X,1920TEST1,1921,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,01, , ,0,0, , , , ,NAU,US, , , ,0000001910, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,USD,0,0,0,0, ,0,0,1921,0,0,0,0,0,0,0,0,0,0,0,0, ,USD, ,0,0, , , , , ,  0,0, ,0
73803,X,4411-PROTOTYPE,4195,V, , ,X, ,1/1/1900, , , , , , , , ,0,0,P,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,1500,X, ,0, , , ,0,02,Z9, ,0,0, , , , ,NAU,AQ, , , ,0000004411, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , ,00000000,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,SGD,0,0,0,0, ,0,0,4195,0,0,0,0,0,0,0,0,0,0,0,0, ,SGD, ,0,0, , , , , ,  0,0, ,0
73805,X,4411-PROTOTYPE,IL10,LVP, , ,X, ,1/1/1900, , , , , , , , ,0,0,P,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001,X, ,0, , , ,0,02,Z9, ,0,0, , , , ,NAU,AQ, , , ,0000004411, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , ,B, , ,0, , , , , , , , ,1/1/1900,0,X, , ,00000000,1/1/1900, ,1/1/1900, , , , ,0, , ,X, , ,0, , , ,0, , ,0, , ,1000, ,0,ILS,0,0,0,0, ,0,0,IL10,0,0,0,0,0,0,0,0,0,0,0,0, ,ILS, ,0,0, , , , , ,  0,0, ,0
81390,X,DI3,CN10,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003560, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,CNY,0,0,0,0, ,0,0,CN10,0,0,0,0,0,0,0,0,0,0,0,0, ,CNY, ,0,0, , , , , ,  0,0, ,0
81391,X,DI3,CN11,VL, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003560, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , ,C, , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,CNY,0,0,0,0, ,0,0,CN11,0,0,0,0,0,0,0,0,0,0,0,0, ,CNY, ,0,0, , , , , ,  0,0, ,0
81392,X,DI3,DE20,VLS, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003560, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , ,C, ,NOPR,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,EUR,0,0,0,0, ,0,0,DE20,0,0,0,0,0,0,0,0,0,0,0,0, ,EUR, ,0,0, , , , , ,  0,0, ,0
81394,X,DI3,IL10,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003560, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,ILS,0,0,0,0, ,0,0,IL10,0,0,0,0,0,0,0,0,0,0,0,0, ,ILS, ,0,0, , , , , ,  0,0, ,0
81395,X,DI3,SG10,VL, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003560, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , ,C, , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,SGD,0,0,0,0, ,0,0,SG10,0,0,0,0,0,0,0,0,0,0,0,0, ,SGD, ,0,0, , , , , ,  0,0, ,0
81820,X,E-500,2090,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0, , , ,0,0, , , , ,NAU,US, , , ,0000006101, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,USD,0,0,0,0, ,0,0,2090,0,0,0,0,0,0,0,0,0,0,0,0, ,USD, ,0,0, , , , , ,  0,0, ,0
84396,X,GHPV01P01,IL10,V, , ,X, ,1/1/1900, , , , , , , , ,0,0,P,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001,X, ,0, , , ,0,02,Z9, ,0,0, , , , ,NAU,TW, , , ,0000004420, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,ILS,0,0,0,0, ,0,0,IL10,0,0,0,0,0,0,0,0,0,0,0,744.62,USD,ILS, ,0,0, , , , , ,  0,0, ,0
85330,X,H22-10-0615,4174,V, , ,X, ,1/1/1900, , , , , , , , ,0,0,P,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,KG01,X, ,0, , , ,0,02,Z9, ,0,0, , , , ,NAU,US, , , ,0000001410, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,KRW,0,0,0,0, ,0,0,4174,0,0,0,0,0,0,0,0,0,0,0,15.15,USD,KRW, ,0,0, , , ,1010, ,  0,0, ,0
85331,X,H22-10-0615,4195,VG, , ,X, ,1/1/1900, , , , , , , , ,0,0,P,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,1500,X, ,0, , , ,0,02,Z9, ,0,0, , , , ,NAU,US, , , ,0000001410, , ,0, ,0,0, , ,3, , , , , , ,0, , ,0, , , ,ZP1, ,0, , , , , , , , ,1/1/1900,0, , , ,00000000,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,SGD,0,0,0,0, ,0,0,4195,0.25,1,0,0,0,0,0,0,0,0,0,15.15,USD,SGD, ,0,0, , , ,1010, ,  0,0, ,0
85337,X,H22-101-0615,IT15,LGBV, , ,X, ,1/1/1900, , , , , , , , ,0,0,P,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001,X, ,0, , , ,0,02,Z9, ,0,0, , , , ,NAU,US, , , ,0000001410, , ,0, ,0,0, ,01,3, , , , , , ,0, , ,0, , ,B,ZP1, ,0, , , , , , , , ,1/1/1900,0, , , ,00000000,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,EUR,0,0,0,0, ,0,0,IT15,0.12,1,0,0,0,0,0,0,0,0,0,0.56,USD,EUR, ,0,0, , , , , ,  0,0, ,0
85895,X,H9150-0037,IT15,VLBQ, , ,X, ,1/1/1900, , , , , , , , ,0,0,P,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0,0007,0, , ,0,0,1/1/1900,0001,X, ,0, , , ,0,02,Z9, ,0,0, , , , ,NAU,AQ, , , ,0000005530, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , ,A, , ,0, , , , , , , , ,1/1/1900,0, , , ,00000000,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,EUR,0,0,0,0, ,0,0,IT15,4.31,1,0,0,0,0,0,0,0,0,0,19.89,USD,EUR, ,0,0, , , , , ,  0,0, ,0
86335,X,IFC-650X,4020,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,0001, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003963, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,EUR,0,0,0,0, ,0,0,4020,0,0,0,0,0,0,0,0,0,0,0,0, ,EUR, ,0,0, , , , , ,  0,0, ,0
86339,X,IFC-650X,CN10,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,1100, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003963, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,CNY,0,0,0,0, ,0,0,CN10,0,0,0,0,0,0,0,0,0,0,0,0, ,CNY, ,0,0, , , , , ,  0,0, ,0
86340,X,IFC-650X,CN11,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,1100, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003963, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,CNY,0,0,0,0, ,0,0,CN11,0,0,0,0,0,0,0,0,0,0,0,0, ,CNY, ,0,0, , , , , ,  0,0, ,0
86341,X,IFC-650X,DE20,VS, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,1100, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003963, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,EUR,0,0,0,0, ,0,0,DE20,0,0,0,0,0,0,0,0,0,0,0,0, ,EUR, ,0,0, , , , , ,  0,0, ,0
86343,X,IFC-650X,IL10,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,1100, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003963, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,ILS,0,0,0,0, ,0,0,IL10,0,0,0,0,0,0,0,0,0,0,0,0, ,ILS, ,0,0, , , , , ,  0,0, ,0
86344,X,IFC-650X,SG10,V, , , , ,1/1/1900, , , , , , , , ,0,0,M,0, , , , , , , ,1/1/1900, , , , , , , , ,0,0,0,0,0, , , ,0, ,0,0, ,0, , ,0,0, ,0, , ,0,0,1/1/1900,1100, , ,0, , , ,0,02, , ,0,0, , , , ,NAU,US, , , ,0000003963, , ,0, ,0,0, , , , , , , , , ,0, , ,0, , , , , ,0, , , , , , , , ,1/1/1900,0, , , , ,1/1/1900, ,1/1/1900, , , , ,0, , , , , ,0, , , ,0, , ,0, , ,1000, ,0,SGD,0,0,0,0, ,0,0,SG10,0,0,0,0,0,0,0,0,0,0,0,0, ,SGD, ,0,0, , , , , ,  0,0, ,0
